cell,month,X_bps,Z_bench_bps,REV_bench_bps,d1_d10_bps,crisis
AREA_EP_f21,2024-01,-321.3410024157524,-163.68141496634144,-23.640222285731678,-455.5281053802404,False
AREA_EP_f21,2024-02,-8.589130217093317,-73.41999981932554,48.02843479820545,-1.925702595859391,False
AREA_EP_f21,2024-03,-302.0860197576528,-344.98908482190996,-284.86794487572274,-354.8391419246799,False
AREA_EP_f21,2024-04,-132.0696194969384,-135.68649142628288,-182.9886196766091,-155.9078166407223,False
AREA_EP_f21,2024-05,-108.96772437805629,114.70390572331821,-11.896847303167636,-53.22100473180694,False
AREA_EP_f21,2024-06,82.82641610275144,-60.80064393733882,-144.943806922291,154.88706305454218,False
AREA_EP_f21,2024-07,-212.62581087695847,-213.78164060744405,-351.75704046626356,-243.40234995601207,False
AREA_EP_f21,2024-08,-51.68138929497881,-65.57999244099234,-93.6879951179139,-57.346687002929485,False
AREA_EP_f21,2024-09,-227.14409603026834,-162.94353056971448,-171.41564047459545,-274.922143146093,False
AREA_EP_f21,2024-10,-518.7529550967608,-303.2378217116815,-482.3979160312357,-708.7824360057841,False
AREA_EP_f21,2024-11,164.3911048214565,202.8180797427851,224.6508866471246,189.99028752571215,False
AREA_EP_f21,2024-12,0.9371673548760201,-24.577874393597597,117.17906072952218,218.65298483382094,False
AREA_EP_f21,2025-01,-19.653845908523884,-68.48740713087734,108.28716621105004,-49.750089563611255,False
AREA_EP_f21,2025-02,-96.47978344963241,-327.7878880262514,-400.72761717343934,-331.6313994803507,False
AREA_EP_f21,2025-03,25.394444187604968,-22.260295440808854,142.73282883057476,75.44352805065911,False
AREA_EP_f21,2025-04,-448.5894481625336,-421.66408502859355,-286.79267513528,-510.49023672277053,False
AREA_EP_f21,2025-05,-182.08725971769667,-16.04683952028861,-93.78119892516884,-121.04962049924922,False
AREA_EP_f21,2025-06,-394.0781520296588,-166.50824790026172,-370.83187850680093,-458.24808558465435,False
AREA_EP_f21,2025-07,100.57279740907487,77.89510416316492,230.7041273578089,305.7392722817051,False
AREA_EP_f21,2025-08,46.564621025131856,90.05879934011047,249.71773822852,88.80154289918063,False
AREA_EP_f21,2025-09,-212.22993974085134,-271.94364854481074,-144.43575199071495,-353.86331145626565,False
AREA_EP_f21,2025-10,68.93984536157416,37.012787208388374,-13.425805899374959,93.4168798809728,False
AREA_EP_f21,2025-11,105.39896119973605,10.212742633034996,-18.512377996240133,130.26256315921495,False
AREA_EP_f21,2025-12,-6.3034451362221215,-195.13590319421843,-155.8690109403697,-52.22588578546322,False
AREA_RW_f5,2016-01,-154.42405300594686,-98.77120027260898,-48.97639618834489,-390.127073897074,False
AREA_RW_f5,2016-02,174.8723611336822,228.50114890248074,768.9640408119509,371.58183715633265,False
AREA_RW_f5,2016-03,198.29958132688924,-89.80692027438296,141.8271085045141,229.8754567330453,False
AREA_RW_f5,2016-04,-141.34348869278492,-0.734403083129092,-117.16811342412446,-259.484809676772,False
AREA_RW_f5,2016-05,174.15679127302644,31.778048258315675,295.7687504252172,131.75092589913504,False
AREA_RW_f5,2016-06,-21.13113574937127,-19.226636999417728,-0.5843384293739706,89.55687130240045,False
AREA_RW_f5,2016-07,88.19291485462973,-58.96535144527312,-22.949367336821236,116.66028121373276,False
AREA_RW_f5,2016-08,-36.55440145828231,-31.31658345523268,-28.843745855426835,-37.65897725387697,False
AREA_RW_f5,2016-09,43.64666613190615,-10.399757028711626,48.4644057871983,2.038019368462065,False
AREA_RW_f5,2016-10,-39.563507673809,13.101450713777583,93.74510558079065,-82.26231526161446,False
AREA_RW_f5,2016-11,-102.51963174798124,-142.4707677597102,-96.24385122914579,-210.5026956166979,False
AREA_RW_f5,2016-12,21.683660715766244,-113.827933147915,60.61184967025237,146.14918782619236,False
AREA_RW_f5,2017-01,-37.37379981674721,4.765976516114894,-12.456476982145542,-62.20970186129047,False
AREA_RW_f5,2017-02,-36.47797349313434,-93.84231077578873,-103.11137935365987,-106.96631609924103,False
AREA_RW_f5,2017-03,-4.150916819724674,12.653145473998057,-16.780032149696556,-39.68541634991664,False
AREA_RW_f5,2017-04,-38.9110882509335,-99.23930244647102,-84.15769223565641,-2.3159065098890648,False
AREA_RW_f5,2017-05,-81.77912643397129,-60.353337888034524,-97.56737065649055,-174.4194302721886,False
AREA_RW_f5,2017-06,-191.60567627922129,-79.18195382888436,-122.0626158702416,-251.67350660159883,False
AREA_RW_f5,2017-07,14.845581324797452,34.27421139004942,-101.83955849365225,73.30637441585114,False
AREA_RW_f5,2017-08,-28.93983475736018,-40.8316215379981,-34.30607754521846,-63.524735566033094,False
AREA_RW_f5,2017-09,4.501369616145938,-37.95609164921348,-31.602528477891727,18.28109726320996,False
AREA_RW_f5,2017-10,-84.8753408863567,-81.05849875764018,-175.2956573966591,-109.83447477114775,False
AREA_RW_f5,2017-11,22.470965235080737,-74.58051727729065,-78.57854651557264,87.28110241982564,False
AREA_RW_f5,2017-12,-87.18523839656336,-71.88526292695602,2.891010261257404,-28.410622023476474,False
AREA_RW_f5,2018-01,-104.84433101316942,5.601297224935436,-40.15074886552929,-114.57542038337105,False
AREA_RW_f5,2018-02,41.19127927619468,-15.247737868536657,-5.459119550151222,-79.63021633794384,False
AREA_RW_f5,2018-03,58.04929164789587,-43.239606836012015,52.83979132053753,4.4351259014280275,False
AREA_RW_f5,2018-04,126.53267037805065,38.10223528151718,125.32039051915534,285.945566687771,False
