variant,ticker,entry_date,days,last_date,exit_date,exit_reason,trade_ret
SCORE_R,NVDA,2018-03-21,40,2018-05-15,2018-05-16,rollback,-0.021338039467351466
SCORE_R,HBAN,2018-04-24,35,2018-06-11,2018-06-12,rollback,0.04188829787234116
SCORE_R,F,2018-05-02,29,2018-06-11,2018-06-12,rollback,0.07193605683836557
SCORE_R,CBS,2018-06-12,15,2018-06-29,2018-07-02,rollback,0.07181156644963593
SCORE_R,KO,2018-07-02,6,2018-07-09,2018-07-10,rollback,0.016674280493375715
SCORE_R,FOX,2018-05-01,51,2018-07-11,2018-07-12,rollback,0.3229224762967098
SCORE_R,FOXA,2018-05-01,51,2018-07-11,2018-07-12,rollback,0.3167718912983808
SCORE_R,CPB,2018-03-15,84,2018-07-12,2018-07-13,rollback,-0.06464050805171251
SCORE_R,ATVI,2018-07-12,8,2018-07-20,2018-07-23,rollback,0.0026485054861897783
SCORE_R,PM,2018-06-12,36,2018-07-31,2018-08-01,rollback,0.07189135310241812
SCORE_R,LUV,2018-04-19,74,2018-08-01,2018-08-02,rollback,0.010062893081761004
SCORE_R,AES,2018-07-13,19,2018-08-07,2018-08-08,rollback,0.05106707317073167
SCORE_R,RF,2018-07-23,16,2018-08-10,2018-08-13,rollback,0.07170868347338955
SCORE_R,TJX,2018-07-12,24,2018-08-13,2018-08-14,rollback,0.04809007681784716
SCORE_R,FLR,2018-07-10,28,2018-08-15,2018-08-16,rollback,0.11303298471440071
SCORE_R,HP,2018-08-13,10,2018-08-23,2018-08-24,rollback,0.05576923076923079
SCORE_R,GGP,2018-03-15,115,2018-08-27,2018-08-27,delisted,0.015186378278876811
SCORE_R,ULTA,2018-08-24,21,2018-09-21,2018-09-24,rollback,0.1684714702207406
SCORE_R,KIM,2018-08-16,56,2018-11-01,2018-11-02,rollback,-0.04967085577498531
SCORE_R,HPE,2018-04-18,146,2018-11-09,2018-11-12,rollback,-0.12324141812042877
SCORE_R,SRE,2018-08-08,68,2018-11-09,2018-11-12,rollback,0.006835684001038844
SCORE_R,F,2018-08-28,54,2018-11-09,2018-11-12,rollback,-0.06944444444444409
SCORE_R,MYL,2018-05-16,129,2018-11-14,2018-11-15,rollback,-0.10608424336973332
SCORE_R,UAA,2018-08-14,67,2018-11-14,2018-11-15,rollback,0.06619047619047658
SCORE_R,D,2018-11-12,4,2018-11-14,2018-11-15,rollback,0.011750069118053652
SCORE_R,PBCT,2018-11-16,3,2018-11-19,2018-11-20,rollback,0.001879699248120259
SCORE_R,AZO,2018-09-24,43,2018-11-20,2018-11-21,rollback,0.039436290730720414
SCORE_R,CPB,2018-08-02,80,2018-11-21,2018-11-23,rollback,-0.042069632495164044
SCORE_R,WYNN,2018-11-16,10,2018-11-29,2018-11-30,rollback,0.014438048504293644
SCORE_R,NWL,2018-02-08,209,2018-12-04,2018-12-06,rollback,-0.20762423417290654
SCORE_R,PEG,2018-11-16,14,2018-12-06,2018-12-07,rollback,0.008202697776157786
SCORE_R,HBI,2018-08-01,113,2019-01-10,2019-01-11,rollback,-0.27419354838709764
SCORE_R,EOG,2018-11-20,36,2019-01-11,2019-01-14,rollback,-0.07530207829869473
SCORE_R,TXN,2018-11-21,36,2019-01-14,2019-01-15,rollback,-0.007774936061380799
