run,date,equity,n_pos,units,drawn,gross
ONE_BOOK,2022-02-14,554359.67,11,14,160698.57,715058.24
ONE_BOOK,2022-02-15,560543.31,11,14,160708.65,721251.96
ONE_BOOK,2022-02-16,539072.92,11,14,160718.72,699791.65
ONE_BOOK,2022-02-17,538126.68,11,13,115115.42,653242.1
ONE_BOOK,2022-02-18,534384.79,11,13,115122.64,649507.43
ONE_BOOK,2022-02-22,528357.83,10,13,113882.31,642240.14
ONE_BOOK,2022-02-23,528138.43,10,13,113889.45,642027.88
ONE_BOOK,2022-02-24,524535.24,10,13,113896.59,638431.83
ONE_BOOK,2022-02-25,540139.87,10,13,113903.73,654043.6
ONE_BOOK,2022-02-28,538730.96,10,13,113910.87,652641.83
ONE_BOOK,2022-03-01,537570.42,9,12,55378.93,592949.35
ONE_BOOK,2022-03-02,549221.41,9,13,109610.01,658831.42
ONE_BOOK,2022-03-03,551474.47,9,14,164815.81,716290.28
ONE_BOOK,2022-03-04,554306.26,9,14,164826.93,719133.19
ONE_BOOK,2022-03-07,548764.96,9,14,164838.05,713603.01
ONE_BOOK,2022-03-08,539137.37,9,14,161062.99,700200.36
ONE_BOOK,2022-03-09,545505.82,6,10,0.0,477051.29
ONE_BOOK,2022-03-10,547820.9,7,11,0.0,532365.99
ONE_BOOK,2022-03-11,541058.0,8,12,39569.67,580627.67
ONE_BOOK,2022-03-14,531313.19,7,12,36225.99,567539.18
ONE_BOOK,2022-03-15,543868.76,7,11,0.0,520911.21
ONE_BOOK,2022-03-16,560583.98,10,14,143117.15,703701.13
ONE_BOOK,2022-03-17,567827.88,10,14,143126.8,710954.68
ONE_BOOK,2022-03-18,575729.36,10,14,143136.46,718865.81
ONE_BOOK,2022-03-21,567276.88,10,14,143146.11,710423.0
ONE_BOOK,2022-03-22,576496.93,10,13,94692.67,671189.6
ONE_BOOK,2022-03-23,571634.8,11,14,152271.96,723906.76
ONE_BOOK,2022-03-24,574496.61,9,11,0.0,569633.22
ONE_BOOK,2022-03-25,580847.77,12,14,167590.12,748437.89
ONE_BOOK,2022-03-28,578379.62,12,14,167601.43,745981.05
ONE_BOOK,2022-03-29,588794.34,10,12,49793.87,638588.21
ONE_BOOK,2022-03-30,579238.11,12,14,167125.63,746363.74
ONE_BOOK,2022-03-31,571887.89,12,14,168365.34,740253.23
ONE_BOOK,2022-04-01,574640.22,10,10,0.0,573703.54
ONE_BOOK,2022-04-04,578281.02,10,10,0.0,577344.34
ONE_BOOK,2022-04-05,566227.35,9,9,0.0,506587.5
ONE_BOOK,2022-04-06,564135.27,9,9,0.0,504495.42
ONE_BOOK,2022-04-07,562978.0,9,9,0.0,503338.15
ONE_BOOK,2022-04-08,570500.84,10,10,0.0,565322.51
ONE_BOOK,2022-04-11,555936.84,13,13,164407.66,720344.5
ONE_BOOK,2022-04-12,560684.85,12,13,160232.74,720917.58
ONE_BOOK,2022-04-13,570170.94,11,13,156942.97,727113.92
ONE_BOOK,2022-04-14,567299.29,11,13,156954.37,724253.66
ONE_BOOK,2022-04-18,571470.3,11,13,156965.77,728436.07
ONE_BOOK,2022-04-19,573863.89,11,13,156977.17,730841.06
ONE_BOOK,2022-04-20,575785.39,11,13,156988.57,732773.95
ONE_BOOK,2022-04-21,554031.51,11,13,156999.97,711031.48
ONE_BOOK,2022-04-22,537195.27,11,13,157011.37,694206.64
ONE_BOOK,2022-04-25,527682.49,11,13,157022.77,684705.26
ONE_BOOK,2022-04-26,522846.36,11,13,157034.17,679880.53
ONE_BOOK,2022-04-27,523695.96,10,12,95969.48,619665.44
ONE_BOOK,2022-04-28,536050.01,10,12,95976.45,632026.46
ONE_BOOK,2022-04-29,515652.45,11,13,149599.73,665252.18
ONE_BOOK,2022-05-02,525387.19,11,13,149613.15,675000.33
ONE_BOOK,2022-05-03,534950.92,11,13,149626.56,684577.48
ONE_BOOK,2022-05-04,559629.59,11,13,149639.98,709269.58
ONE_BOOK,2022-05-05,544500.14,11,13,149653.4,694153.54
ONE_BOOK,2022-05-06,550404.84,10,12,98317.51,648722.35
ONE_BOOK,2022-05-09,513471.92,10,13,152167.13,665639.05
ONE_BOOK,2022-05-10,517765.53,10,13,145307.11,663072.64
ONE_BOOK,2022-05-11,519604.33,10,13,145320.14,664924.47
ONE_BOOK,2022-05-12,517134.71,10,13,145333.17,662467.89
ONE_BOOK,2022-05-13,542834.93,10,13,145346.21,688181.14
ONE_BOOK,2022-05-16,547723.55,10,13,144696.77,692420.32
ONE_BOOK,2022-05-17,562078.81,10,13,144709.75,706788.55
ONE_BOOK,2022-05-18,536020.92,10,13,144722.73,680743.65
ONE_BOOK,2022-05-19,522163.85,7,12,81104.98,603268.83
ONE_BOOK,2022-05-20,516486.04,8,13,133592.43,650078.46
ONE_BOOK,2022-05-23,526035.97,8,13,133604.41,659640.38
ONE_BOOK,2022-05-24,521668.86,8,13,133616.39,655285.25
ONE_BOOK,2022-05-25,528511.0,8,13,133628.38,662139.37
ONE_BOOK,2022-05-26,545187.78,8,13,133640.36,678828.14
ONE_BOOK,2022-05-27,553883.89,8,13,133652.34,687536.23
ONE_BOOK,2022-05-31,548995.64,8,13,133664.33,682659.98
ONE_BOOK,2022-06-01,547855.28,8,13,132613.36,680468.64
ONE_BOOK,2022-06-02,549529.14,7,12,77966.56,627495.7
ONE_BOOK,2022-06-03,539584.12,8,13,132381.6,671965.72
ONE_BOOK,2022-06-06,544775.02,7,12,76071.48,620846.5
ONE_BOOK,2022-06-07,548739.36,7,12,76079.6,624818.96
ONE_BOOK,2022-06-08,546452.04,8,13,130790.44,677242.47
ONE_BOOK,2022-06-09,532811.55,8,13,130804.4,663615.94
ONE_BOOK,2022-06-10,521164.62,7,12,79402.61,600567.23
ONE_BOOK,2022-06-13,503157.71,7,12,79411.09,582568.8
ONE_BOOK,2022-06-14,503269.37,7,12,79419.57,582688.94
ONE_BOOK,2022-06-15,512924.81,7,12,79428.04,592352.85
ONE_BOOK,2022-06-16,494826.65,7,12,79436.52,574263.17
ONE_BOOK,2022-06-17,497644.64,7,12,79445.0,577089.64
ONE_BOOK,2022-06-21,516106.35,7,12,79453.48,595559.83
ONE_BOOK,2022-06-22,513801.34,8,13,130517.75,644319.08
ONE_BOOK,2022-06-23,515921.6,8,13,130531.68,646453.28
ONE_BOOK,2022-06-24,534136.35,8,13,130545.61,664681.96
ONE_BOOK,2022-06-27,534355.77,8,13,130559.55,664915.31
